state,ags,place,population
NW,051700020020,"Kamp-Lintfort, Stadt",37469
BW,083355006096,Hohenfels,2220
SH,010595952124,Holt,154
BY,093745330159,"Tännesberg, M",1509
BB,120625205425,Sallgast,1425
BW,084255005088,Oberdischingen,2212
BY,092745221187,Weihmichl,2434
BY,092765238142,"Ruhmannsfelden, M",2013
BW,083155007125,Wittnau,1480
RP,071435001243,Hof (Landkreis Westerwaldkreis),1308
ST,150835053275,Harbke,1710
RP,072325008020,Brecht,193
SH,010545488158,Witsum,41
RP,073395007011,Dexheim,1399
ST,150900550550,"Tangermünde, Stadt",10255
RP,071435006283,Oberroßbach,348
SN,146265220270,Lawalde,1789
TH,160710001001,"Apolda, Stadt",22606
TH,160745053085,Schlöben,923
NW,059540036036,"Witten, Stadt",91735
HE,066350018018,Twistetal,4119
RP,071385004501,Kasbach-Ohlenberg,1425
NI,032565402005,"Drakenburg, Flecken",1791
NI,033555406005,Barendorf,2480
HE,066350021021,"Waldeck, Nationalparkstadt",6908
SH,010545488025,Dunsum,77
BY,091870120120,Brannenburg,6506
BY,095755518138,Langenfeld (LK Neustadt a.d.Aisch-Bad Windsheim),1086
RP,071325006010,Bitzen,772
BY,091760121121,"Dollnstein, M",2888
RP,072355001005,Bescheid,387
BB,120715101041,Dissen-Striesow,976
NI,034525403010,Halbemond,975
RP,073385007011,Harthausen,3152
RP,071415010006,"Bad Ems, Stadt",9914
BY,094720150150,Heinersreuth,3706
NI,034575402019,Schwerinsdorf,719
SN,146250010010,Arnsdorf,4790
SN,145210320320,"Johanngeorgenstadt, Stadt",3696
SN,145240300300,"Werdau, Stadt",20668
NW,051660004004,"Brüggen, Burggemeinde",16082
BW,082165007022,Hügelsheim,5052
BB,120615113061,Byhleguhre-Byhlen,735
BY,096795654182,"Röttingen, St",1561
RP,071355005054,Liesenich,311
RP,071375002080,Naunheim,462
NI,031570007007,Vechelde,18141
BY,097785761139,Fellheim,1109
NI,033545407024,Waddeweitz,852
RP,071110000000,"Koblenz, Stadt",112963
BW,082160008008,Bühlertal,7788
RP,071335011103,"Stromberg, Stadt",3478
MV,130760108108,"Parchim, Stadt",17814
RP,071345005067,Oberwörresbach,110
SH,010605086018,Dreggers,44
HE,064350021021,"Nidderau, Stadt",20055
BY,093775350132,Krummennaab,1426
BY,091815144146,Windach,3766
SH,010625262011,Braak,964
RP,072325008273,Neuheilenbach,247
MV,130725258038,Groß Roge,593
TH,160760022022,"Greiz, Stadt",19883
BW,083365006096,Wieden,540
SH,010535318104,Roseburg,544
TH,160735005046,"Lehesten, Stadt",1569
SH,010575727048,"Lütjenburg, Stadt",5259
TH,160745011087,Schöps,298
SH,010585893057,Gammelby,519
BW,082255006118,Waldbrunn (Landkreis Neckar-Odenwald-Kreis),4691
NI,033590038038,"Stade, Hansestadt",47852
RP,072315006112,Rorodt,59
BY,091870168168,Rimsting,3692
TH,160735012094,Unterweißbach,724
RP,072315001077,Longkamp,1086
RP,071415007120,Ruppertshofen (Landkreis Rhein-Lahn-Kreis),327
BY,095760111111,"Abenberg, St",5525
BY,096710140140,Mainaschaff,8699
SN,146265220150,Großschweidnitz,1262
BY,096725607121,"Elfershausen, M",2826
MV,130710156156,"Waren (Müritz), Stadt",20481
TH,160635059015,Dermbach,7074
BW,083165005013,Forchheim,1407
BY,093730113113,Berg b.Neumarkt i.d.OPf.,7910
BW,083255002045,"Oberndorf am Neckar, Stadt",14522
BY,095715507223,Wieseth,1316
MV,130715161090,Lindetal,1162
BW,084155004060,Pliezhausen,9885
BY,096760125125,"Großheubach, M",5004
SH,010575727035,Klamp,640
TH,160745007074,Rausdorf (Landkreis Saale-Holzland-Kreis),205
HE,064380008008,"Mühlheim am Main, Stadt",28607
RP,072325006304,Schönecken,1462
RP,072325005084,Muxerath,39
RP,072325005022,Burg,21
BW,082265009058,Neidenstein,1790
RP,071415010139,Winden,735
RP,073405001002,Busenberg,1162
SH,010585890152,Sehestedt,782
RP,071375003077,Münk,255
BW,081195004069,Spiegelberg,2186
BY,096755615131,"Großlangheim, M",1566
MV,130715151150,Verchen,394
RP,073365010077,Pfeffelbach,893
NI,031545403005,Frellstedt,789
HE,064350013013,Hammersbach,4801
NW,053740028028,Morsbach,10426
BW,082165005043,"Rastatt, Stadt",50546
NI,034595402031,Rieste,3595
RP,071315001058,Nürburg,188
ST,150855051285,"Schwanebeck, Stadt",2357
RP,073405008211,"Hornbach, Stadt",1401
MV,130725256059,Kuchelmiß,707
MV,130755552001,Ahlbeck,610
BY,097720121121,"Biberbach, M",3568
TH,160715008056,Mellingen,1487
BW,083365004069,"Rheinfelden (Baden), Stadt",34438
SN,146265228020,Beiersdorf,1089
RP,071385009076,Waldbreitbach,1913
HE,066340003003,"Felsberg, Stadt",10377
RP,073375004038,Herxheim bei Landau/ Pfalz,10856
TH,160760088088,Harth-Pöllnitz,2754
SH,010515163026,Eggstedt,761
BW,081185003010,"Bönnigheim, Stadt",7919
TH,160685009025,Haßleben,979
NW,059740044044,"Warstein, Stadt",25162
BY,097750162162,"Vöhringen, St",13638
BW,083265003054,Schönwald im Schwarzwald,2483
MV,130715151008,Beggerow,483
NI,033610003003,Dörverden,8737
ST,150845053250,Karsdorf,1446
RP,072335006007,Birgel,434
SH,010595937178,Westerholz,774
NI,032510041041,"Syke, Stadt",24789
BY,097745731189,Wiesenbach (Landkreis Günzburg),1012
BY,091795131132,Landsberied,1592
RP,072355006115,Riol,1267
BY,093750209209,Wiesent,2570
RP,071315002003,Altenahr,1508
RP,071355005041,Hesweiler,111
RP,073405009017,Herschberg,779
MV,130715153084,Kummerow,571
RP,072325001291,Pintesfeld,40
SH,010615189064,Lockstedt,146
BY,097760116116,"Lindau (Bodensee), GKSt",25394
SN,145220290290,Königshain-Wiederau,2576
MV,130715154113,Nossentiner Hütte,574
BB,120710076076,"Forst (Lausitz), Stadt",17388
BY,092750145145,"Ruhstorf a.d.Rott, M",7072
NW,055620032032,"Recklinghausen, Stadt",115216
NI,031515406001,Adenbüttel,1774
NW,053580036036,"Linnich, Stadt",13456
RP,073365010051,Körborn,332
RP,071325010060,Kescheid,132
BY,091840140140,Putzbrunn,6582
RP,071335011093,Schweppenhausen,931
RP,071385004037,Leubsdorf (Landkreis Neuwied),1598
RP,071435003030,Hilgert,1523
BW,083370066066,"Laufenburg (Baden), Stadt",9210
RP,071435009233,Halbs,363
SH,010575755078,Stakendorf,473
MV,130735358060,Niepars,2385
NI,034565402005,Georgsdorf,1256
TH,160755013125,Wilhelmsdorf (Landkreis Saale-Orla-Kreis),208
NI,032515402013,Drebber,2949
BB,120735303093,Carmzow-Wallmow,583
SH,010535358004,Bäk,919
ST,150815051545,Wallstawe,841
NI,033525404024,Hollnseth,869
SL,100440112112,"Lebach, Stadt",19398
BY,093755334211,Wolfsegg,1482
MV,130755553020,Bugewitz,237
NI,033555401002,Amelinghausen,3729
BW,081155002013,Ehningen,9124
BY,092745223179,Schalkham,905
TH,160750098098,"Schleiz, Stadt",8494
NI,031515404022,Ribbesbüttel,2114
HE,065340012012,Lahntal,6976
MV,130715159045,Gotthun,305
RP,073345004034,Winden (Landkreis Germersheim),1053
RP,073335003001,Albisheim (Pfrimm),1818
RP,073335002019,"Eisenberg (Pfalz), Stadt",9224
RP,072315008046,Großlittgen,989
NW,051170000000,"Mülheim an der Ruhr, Stadt",171435
BY,091840119119,"Garching b.München, St",17620
HE,066320005005,Cornberg,1294
BB,120610260260,"Königs Wusterhausen, Stadt",38400
NI,031515403029,Steinhorst (Landkreis Gifhorn),1260
RP,071415011074,Kördorf,565
MV,130755563044,"Gützkow, Stadt",3027
SH,010545453013,Bondelum,186
MV,130765665071,Klein Rogahn,1360
TH,160625054024,Kehmstedt,459
BY,094795442158,"Thiersheim, M",1704
SH,010585822116,Noer,877
RP,071325010086,Oberwambach,397
BY,094795444111,Bad Alexandersbad,950
SH,010515169131,Westerborstel,117
RP,071415009138,Weyer,450
RP,072325008118,Schleid,363
BY,095745527129,Hartenstein,1453
SH,010585893102,Goosefeld,724
SH,010620001001,"Ahrensburg, Stadt",34197
NI,034530003003,Cappeln (Oldenburg),8546
RP,073375007023,Essingen (Landkreis Südliche Weinstraße),2317
RP,072335001052,Niederstadtfeld,450
RP,073375005031,Göcklingen,901
SH,010575747031,Honigsee,457
BY,095710113113,"Arberg, M",2215
SN,145220310310,"Leisnig, Stadt",8224
RP,073375002059,Oberotterbach,1091
NI,032565407031,Stöckse,1284
BY,091715106121,Kastl (Landkreis Altötting),2840
MV,130765654067,Karenz,223
SN,145220470470,Rechenberg-Bienenmühle,1771
BY,097755740142,Osterberg,935
NW,057660020020,"Detmold, Stadt",74486
SH,010585859107,Molfsee,5046
BW,084150059059,"Pfullingen, Stadt",19227
BY,096720127127,"Hammelburg, St",10845
BW,081365003035,Jagstzell,2306
BW,082265004068,Reilingen,8179
BY,095710146146,"Flachslanden, M",2346
NI,031545404024,Velpke,4861
RP,071315001032,Honerath,166
BY,097805742113,Balderschwang,232
RP,073325002005,Bobenheim am Berg,833
BY,091870181181,Vogtareuth,3074
BW,084375004088,"Pfullendorf, Stadt",13233
TH,160630076076,"Treffurt, Stadt",5935
BW,084265005001,Achstetten,4940
NI,032515404018,Freistatt,578
BW,083375006097,"St. Blasien, Stadt",3664
MV,130715151128,Sarow,693
NI,031030000000,"Wolfsburg, Stadt",127145
SH,010545489009,Aventoft,406
NI,031585407027,"Schöppenstedt, Stadt",5339
RP,071355002043,Kaifenheim,806
BW,081280039039,"Freudenberg, Stadt (Landkreis Main-Tauber-Kreis)",3697
RP,071345001021,Eckersweiler,170
BY,097775756179,Wald (Landkreis Ostallgäu),1151
ST,150810280280,"Klötze, Stadt",9790
BW,081180076076,"Sachsenheim, Stadt",18303
SH,010625218051,Nienwohld,500
TH,160775004052,Windischleuba,1862
HE,064360003003,"Eschborn, Stadt",21663
BY,093760159159,Schmidgaden,2947
TH,160765004027,Hilbersdorf (Landkreis Greiz),196
RP,071405004145,Sohren,3162
MV,130765664078,Kuhlen-Wendorf,776
SN,147290380380,Thallwitz,3536
BY,095715501155,Geslau,1336
SH,010585864163,Timmaspe,1097
RP,071375007226,"Vallendar, Stadt",8569
SN,147290245245,Lossatal,6103
TH,160645001045,Mittelsömmern,205
RP,071315002029,Hönningen,1031
BY,097715703144,"Kühbach, M",4211
NI,032540021021,"Hildesheim, Stadt",97716
TH,160705009013,Elxleben (Landkreis Ilm-Kreis),564
BW,081165008012,Bissingen an der Teck,3372
RP,071375009205,Brodenbach,672
RP,072335001065,Schutz,145
BY,097785758217,Winterrieden,929
BY,096715604135,Kleinkahl,1825
NI,031550009009,"Moringen, Stadt",6701
RP,073405006054,Waldfischbach-Burgalben,4225
BY,091815144120,Finning,1900
HE,066310023023,"Tann (Rhön), Stadt",4447
RP,073365009076,Ohmbach,786
SL,100410517517,Riegelsberg,14386
NI,031515406027,Schwülper,7086
BY,091850163163,Königsmoos,4812
RP,073375002046,Kapsweyer,911
RP,072325001301,Roscheid,51
TH,160625054037,Niedergebra,630
SH,010575782025,Heikendorf,8344
BW,083355006021,Eigeltingen,3835
BW,083375004128,Ühlingen-Birkendorf,5203
BY,091780136136,Kirchdorf a.d.Amper,3260
ST,150905053003,Aland,1313
BW,083370038038,Görwihl,4235
BY,096710150150,Sailauf,3593
TH,160745007024,Gneus,150
BW,081265004060,"Niedernhall, Stadt",4143
RP,071435004065,Ruppach-Goldhausen,1239
NI,032565409010,Hassel (Weser),1738
BW,084265007067,Langenenslingen,3642
SH,010595919182,Freienwill,1583
NI,031585406030,Sickte,5976
SH,010615134044,Horst (Holstein),5726
TH,160675053091,Nessetal,8156
BW,082355003018,Dobel,2318
BY,091855155166,Waidhofen,2281
RP,071385005058,Ratzert,244
BY,093725310147,Pösing,958
RP,071435001280,Norken,957
BW,081190061061,Rudersberg,11704
MV,130715161067,Holldorf,750
SH,010585859105,Mielkendorf,1392
NW,057620032032,"Steinheim, Stadt",12106
RP,072325005049,Herbstmühle,22
BY,097725706217,Westendorf (Landkreis Augsburg),1710
SH,010580092092,Kronshagen,12212
SH,010595974006,Böel,733
BY,096760117117,Collenberg,2403
RP,072355007137,Trierweiler,3681
BY,094750120120,Döhlau,3834
